ssyk_code,keywords
3421,"idrottare, elitidrottare, fotbollsspelare, hockeyspelare, athlete, footballer"
3422,"tränare, coach, personlig tränare, pt, fotbollstränare, trainer"
3423,"fritidsgård, ungdomsledare, ungdomsgård, youth worker, youth leader"
3424,"hälsocoach, friskvård, hälsoutvecklare, hälsoinspiratör, health coach"
3431,"fotograf, foto, fotografering, photographer, photography"
3432,"inredning, scenograf, dekoratör, stylist, set designer"
3433,"inspicient, scripta, teater, rekvisitör, script supervisor"
3439,"cirkusartist, underhållare, artist, entertainer, performer"
3441,"körlärare, körskola, trafikskola, körskollärare, driving school"
3449,"instruktör, kursledare, handledare, trainer, course leader"
3451,"kökschef, kök, restaurang, head chef, kitchen manager"
3452,"kostchef, köksföreståndare, storkök, måltidschef, catering manager, food service"
3511,"driftstekniker, it-drift, it-tekniker, datacenter, it operations, noc"
3512,"it-support, helpdesk, servicedesk, first line, it technician"
3513,"sysadmin, it-administratör, systemansvarig, servertekniker, it"
3514,"nätverkstekniker, nätverk, it-tekniker, network engineer, network admin"
3515,"webbansvarig, hemsida, webbplats, sajt, website manager"
3521,"tv-tekniker, medietekniker, videotekniker, av-tekniker, broadcast technician"
3522,"ljudtekniker, ljustekniker, eventtekniker, roadie, sound engineer, light technician"
4111,"ekonomiassistent, fakturering, kundreskontra, leverantörsreskontra, bokföring, accounts assistant, finance assistant"
4112,"löneadministratör, lönespecialist, lön, hr, payroll"
4113,"administratör, kontorist, ekonomiadministratör, admin, administration"
4114,"marknadsassistent, säljassistent, säljsupport, marknadsföring, marketing assistant, sales support"
4115,"inköpsassistent, orderassistent, inköp, order, procurement"
4116,"skoladministratör, skolexpedition, skolsekreterare, utbildningsadministratör, education administrator"
4117,"läkarsekreterare, vårdadministratör, journalföring, vårddokumentation, healthcare admin"
4119,"kontorist, administratör, assistent, admin, secretary"
4211,"croupier, kasino, casino, spelbolag, dealer, betting"
4212,"inkasso, inkassohandläggare, pantbank, kravhandläggare, collections"
4221,"resebyrå, resekonsult, reserådgivare, bokning, travel agency, booking"
4222,"kundservice, kundsupport, callcenter, call center, support agent"
4223,"telefonist, växeltelefonist, telefonväxel, växel, operator"
4224,"receptionist, hotell, reception, front desk, concierge, portier"
4225,"receptionist, reception, kontorsservice, front desk, växel"
4226,"marknadsundersökning, telefonintervjuare, enkät, opinionsundersökare, pollster"
4321,"lagerchef, lagerledare, teamledare, logistik, warehouse manager, foreman"
4322,"lagerarbetare, lagermedarbetare, terminalarbetare, logistik, lagerjobb, warehouse worker"
4323,"trafikledare, transportplanerare, logistik, dispatcher, logistics"
4410,"biblioteksassistent, arkivassistent, bibliotek, arkiv, library assistant"
4420,"postbud, post, postnord, paketutdelare, mailman, mail carrier"
4430,"politiker, riksdagsledamot, kommunalråd, regionråd, politician, mp"
5111,"flygvärdinna, flygvärd, purser, steward, flight attendant, stewardess"
5112,"tågvärd, konduktör, tågpersonal, ombordpersonal, conductor"
5113,"guide, turistguide, färdledare, turism, tour guide, tour leader"
5120,"kock, restaurang, kök, matlagning, chef, cook"
5131,"servitör, servitris, servering, serveringspersonal, restaurang, waitress, server"
5132,"bartender, bar, barpersonal, barman, mixologist"
5141,"frisör, barberare, hårstylist, salong, barber, hair stylist"
5142,"hudvård, kosmetolog, skönhetssalong, ansiktsbehandling, esthetician, beauty therapist"
5143,"massör, massage, spa, friskvård, spa therapist"
5144,"fotvård, fotvårdare, pedikyr, podiatrist, chiropodist, pedicure"
5149,"nagelterapeut, fransstylist, tatuerare, piercare, nail technician, lash stylist"
5151,"husfru, städning, städchef, lokalvård, housekeeping"
5152,"vaktmästare, fastighetsvärd, fastighetstekniker, caretaker, janitor"
5161,"begravningsbyrå, begravningsentreprenör, begravningsrådgivare, funeral director, mortician"
5169,"service, servicemedarbetare, servicearbetare, service staff"
5221,"butikschef, butiksansvarig, butiksföreståndare, handel, store manager, retail manager"
5222,"butiksbiträde, mataffär, livsmedel, matbutik, expedit, supermarket"
5223,"butiksbiträde, expedit, detaljhandel, butik, retail"
5224,"optikbutik, glasögon, optik, optician, eyewear"
5225,"mack, bensinmack, bensinstation, tankstation, gas station"
5226,"uthyrning, biluthyrning, hyrbil, rental agent, car rental"
5227,"apotek, apoteksbiträde, egenvård, läkemedel, pharmacy assistant"
5230,"kassabiträde, kassörska, kassa, butikskassa, checkout"
5241,"demonstratör, mässäljare, provsmakning, promotion, promoter"
5242,"säljare, telefonsäljare, callcenter, telemarketing, telesales, sales"
5311,"dagis, förskola, barnomsorg, childcare, daycare, preschool"
5312,"lärarassistent, resurspedagog, elevassistent, skola, teacher assistant, classroom assistant"
5321,"usk, undersköterska, äldreomsorg, omsorg, caregiver, cna"
5322,"usk, undersköterska, rehab, rehabilitering, caregiver"
5323,"usk, undersköterska, sjukhus, slutenvård, avdelning, hospital"
5324,"usk, undersköterska, vårdcentral, öppenvård, caregiver"
5325,"barnsköterska, usk, bb, neonatal, barnsjukvård, pediatric"
5326,"ambulans, ambulansförare, akutsjukvård, paramedic, emt"
5330,"vårdbiträde, hemtjänst, äldreomsorg, omsorg, caregiver, home help"
5341,"mentalskötare, psykiatri, psykvård, behandlingsassistent, psychiatric aide, mental health"
5342,"lss, gruppboende, boendestöd, stödassistent, omsorg, support worker"
5343,"lss, personlig assistent, assistans, funktionsnedsättning, brukare, caregiver"
5349,"omsorg, vårdare, vårdpersonal, ledsagare, caregiver, aide"
5350,"tandsköterska, tandvård, folktandvård, dental assistant"
5411,"brandman, räddningstjänst, brandkår, deltidsbrandman, fireman, rescue"
5412,"kriminalvård, fängelse, anstalt, häkte, corrections officer"
5413,"vakt, ordningsvakt, bevakning, skyddsvakt, watchman"
5414,"larmcentral, larmoperatör, 112, nödsamtal, dispatcher"
5419,"livvakt, badvakt, bodyguard, lifeguard, security"
6111,"bonde, lantbrukare, jordbrukare, grönsaksodlare, farmer"
6112,"trädgårdsmästare, växthus, handelsträdgård, odlare, horticulture, greenhouse"
6113,"trädgårdsmästare, parkarbetare, kyrkogårdsarbetare, anläggare, landscaper, groundskeeper"
6121,"bonde, lantbrukare, mjölkbonde, djurskötare, farmer"
6122,"hunddagis, kennel, djurvårdare, hundfrisör, dog sitter, groomer"
6129,"hästskötare, stallpersonal, djurpark, zookeeper, stable hand"
6130,"bonde, lantbrukare, jordbrukare, gård, farmer"
6210,"skogshuggare, röjare, skogsvård, huggare, lumberjack, logger"
6221,"fiskodling, vattenbruk, laxodling, aquaculture"
6222,"yrkesfiskare, fiske, trålare, fishing, fisherman"
7111,"byggsnickare, timmerman, bygg, hantverkare, carpenter, joiner"
7112,"plattsättare, kakelsättare, putsare, mason, tiler"
7113,"betong, armerare, gjutning, cement worker"
7114,"vägarbetare, asfaltläggare, markarbetare, järnvägsarbetare, groundworker"
7115,"dykare, yrkesdykare, undervattensarbete, diving, underwater work"
7116,"byggnadsställning, ställningsmontör, scaffolding, scaffolder"
7119,"byggarbetare, bygg, construction worker, builder"
7121,"takläggare, tak, takarbetare, roofing"
7122,"golv, mattläggare, parkettläggare, flooring, carpet layer"
7123,"isolerare, isolering, insulator"
7124,"glasmästare, glas, fönster, glass, window fitter"
7125,"rörmokare, rörläggare, plumber, pipefitter"
7126,"kylmontör, ac, luftkonditionering, hvac, refrigeration"
7131,"måleri, byggmålare, tapetsering, decorator"
7132,"billackerare, lackering, sprutlackerare, coating"
7133,"sotare, sotning, skorsten, sweep"
7134,"sanerare, sanering, asbestsanering, klottersanering, decontamination"
7211,"gjuteri, gjutning, foundry, caster"
7212,"svets, svetsning, welding, tig, mig"
7213,"plåtslagare, takplåt, plåtarbete, plåtis, tinsmith"
7214,"plåtslagare, plåtarbete, plåt, tinsmith"
7215,"stålmontör, stålbyggare, järnarbetare, steelworker"
7221,"smed, smide, hovslagare, smedja, forge, farrier"
7222,"verktyg, låssmed, locksmith, die maker"
7223,"cnc, cnc-operatör, svarvare, fräsare, machinist, turner"
7224,"slipning, polerare, polering, grinder"
7231,"bilmekaniker, mekaniker, bilverkstad, fordonstekniker, car mechanic, auto mechanic"
7232,"flygtekniker, flygplanstekniker, flyg, aviation technician"
7233,"mekaniker, industrimekaniker, reparatör, underhållstekniker, maintenance technician, fitter"
7311,"urmakare, instrumentmakare, finmekanik, watchmaker"
7312,"guldsmed, silversmed, juvelerare, smycken, jeweller, goldsmith"
7319,"keramiker, glasblåsare, hantverkare, pianostämmare, potter, glassblower"
7321,"originalare, grafiker, dtp, grafisk produktion, typesetter"
7322,"tryckeri, digitaltryck, offset, printing, press operator"
7323,"bokbinderi, binderi, efterbehandling, bookbinding"
7411,"elektriker, el, elinstallatör, elmontör, electrician"
7412,"elektriker, elmontör, el, automation, electrician"
7413,"linjemontör, elnät, kraftledning, lineman, powerline"
7420,"teletekniker, telemontör, larmtekniker, fibertekniker, repair technician"
7521,"ytbehandling, impregnering, betsning, varnishing"
7522,"snickare, snickeri, möbler, finsnickeri, furniture maker, woodworker"
7523,"cnc, cnc-operatör, träbearbetning, woodworking"
7531,"sömmerska, sömnad, ändringssömnad, dressmaker, seamstress"
7532,"sömmerska, sömnad, broderi, seamstress"
7533,"möbeltapetserare, stoppning, möbler, upholstery"
7534,"sadelmakare, skoreparation, sko, cobbler, saddler"
7611,"chark, slakteri, styckning, meat cutter"
7612,"bageri, konditori, pastry chef, baking"
7613,"sensorik, kvalitetskontroll, quality control"
7619,"livsmedel, livsmedelsarbetare, food worker, food production"
8111,"gruvarbetare, gruva, bergarbetare, mining"
8112,"anrikning, krossverk, gruvindustri, mill operator"
8113,"borrare, borrning, bergborrare, driller, drilling"
8114,"betongindustri, betongarbete, operatör, concrete"
8115,"sprängare, sprängning, bergarbetare, blasting"
8116,"stenarbetare, stenindustri, mason, masonry"
8121,"galvanisering, anodisering, ytbehandlare, electroplating, galvanizing"
8122,"smältverk, stålverk, valsare, smelter, steel mill"
8129,"stålindustri, metallindustri, smältverk, steelworker"
8131,"läkemedel, läkemedelsindustri, processoperatör, pharma"
8132,"kemiindustri, processoperatör, kemikalier, process worker"
8141,"gummi, däck, vulkanisering, tyre"
8142,"plast, formsprutning, plastarbetare, injection moulding"
8143,"papper, kartong, wellpapp, emballage, packaging"
8151,"tvätteri, kemtvätt, textilvård, laundry, dry cleaning"
8159,"textilarbetare, väveri, spinneri, weaving"
8161,"livsmedelsindustri, chark, slakteri, food industry"
8162,"mejerist, mjölk, ost, livsmedelsindustri"
8163,"livsmedelsindustri, choklad, godis, candy"
8169,"livsmedelsarbetare, bryggeri, dryckesindustri, food worker"
8171,"massabruk, cellulosa, massaindustri, mill worker"
8172,"pappersbruk, pappersindustri, pappersmaskin, mill operator"
8173,"sågverksarbetare, träindustri, timmer, timber"
8174,"impregnering, lackering, träindustri, coating"
8181,"paketerare, packare, förpackning, buteljering, packaging"
8189,"operatör, industriarbetare, fabriksarbetare, factory worker"
8191,"kraftverk, reningsverk, drift, energiproduktion, utilities"
8192,"processoperatör, raffinaderi, kemiindustri, refinery"
8193,"stålverk, smältverk, masugn, steel mill, smelter"
8199,"driftoperatör, processoperatör, drift, plant operator, control room"
8211,"montör, montering, bilfabrik, fordonsindustri, assembly line"
8212,"elektronikmontör, kretskort, montering, pcb"
8213,"montering, industrimontör, fabriksarbete, assembly, factory worker"
8214,"montering, möbelmontör, möbelindustri, furniture assembly"
8219,"montering, industrimontör, fabriksarbete, assembly"
8311,"tågförare, tåg, järnväg, lokomotiv, engine driver, railway"
8312,"växlare, järnväg, shunter, signalman"
8321,"chaufför, taxichaufför, budbilsförare, uber, cabbie"
8329,"cykelbud, bud, mopedbud, courier, delivery driver"
8331,"busschaufför, chaufför, kollektivtrafik, lokaltrafik"
8332,"chaufför, lastbilschaufför, åkeri, trucker"
8341,"skogsmaskinförare, traktorförare, skördare, skotare, tractor driver, harvester"
8342,"grävmaskinist, maskinförare, grävmaskin, hjullastare, excavator, digger"
8343,"lyftkran, tornkran, mobilkran, kranbil"
8344,"truckkort, lager, forklift, warehouse"
8350,"sjöman, däckspersonal, sjöfart, båtsman, sailor, deckhand"
9111,"lokalvårdare, städerska, städning, hemstäd, cleaning, housekeeping"
9119,"barnflicka, au pair, hushållerska, husa, hemhjälp, housekeeper"
9120,"rekond, biltvätt, bilvård, car wash, detailing"
9210,"plockare, skogsplantering, säsongsarbete, seasonal work, harvest worker"
9310,"byggarbetare, hantlangare, rivning, builder, demolition"
9320,"packare, paketerare, industriarbetare, factory worker, packer"
9331,"stuveriarbetare, stuvare, docker, stevedore, longshoreman"
9332,"flyttgubbe, flyttfirma, varuplock, bagagehanterare, baggage handler"
9411,"pizzeria, snabbmat, gatukök, kebab, food worker"
